Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"TVS Scooty Pep 1922 200960,000 kmGampaha, MotorbikesRs 90,00035 days",https://ikman.lk/en/ad/tvs-scooty-pep-1922-2009-for-sale-gampaha,TVS Scooty Pep 1922 2009,"Posted on 07 Feb 12:55 am, Kadawatha, Gampaha",Scooters,TVS,1922,Scooty Pep,2009,"60,000 km",Rohana,50 cc,"90,000"
"TVS Scooty Pep 200411,077 kmPuttalam, MotorbikesRs 118,00028 days",https://ikman.lk/en/ad/tvs-scooty-pep-2004-for-sale-puttalam,TVS Scooty Pep 2004,"Posted on 15 Feb 9:02 am, Puttalam City, Puttalam",Scooters,TVS,,Scooty Pep,2004,"11,077 km",Ida D Leonard,90 cc,"118,000"
"TVS Scooty Pep 200535,000 kmColombo, MotorbikesRs 90,00033 days",https://ikman.lk/en/ad/tvs-scooty-pep-2005-for-sale-colombo-113,TVS Scooty Pep 2005,"Posted on 19 Feb 10:10 am, Kesbewa, Colombo",Scooters,TVS,TVS scooty  Pep 2005,Scooty Pep,2005,"35,000 km",Sell Fast | Piliyandala | Senvin,100 cc,"90,000"
"TVS Scooty Pep 200549,000 kmKalutara, MotorbikesRs 145,00031 days",https://ikman.lk/en/ad/tvs-scooty-pep-2005-for-sale-kalutara-7,TVS Scooty Pep 2005,"Posted on 11 Feb 1:00 pm, Kalutara City, Kalutara",Scooters,TVS,Scooty pep,Scooty Pep,2005,"49,000 km",Nuwan,70 cc,"145,000"
"TVS Scooty Pep 200550,000 kmAnuradhapura, MotorbikesRs 105,00024 days",https://ikman.lk/en/ad/tvs-scooty-pep-2005-for-sale-anuradhapura-4,TVS Scooty Pep 2005,"Posted on 18 Feb 8:35 am, Anuradhapura City, Anuradhapura",Scooters,TVS,Scooty pep 2005,Scooty Pep,2005,"50,000 km",Saviska Fernando,75 cc,"105,000"
"TVS Scooty Pep 200637,000 kmMatara, MotorbikesRs 115,00043 days",https://ikman.lk/en/ad/tvs-scooty-pep-2006-for-sale-matara-17,TVS Scooty Pep 2006,"Posted on 29 Jan 9:55 pm, Matara City, Matara",Scooters,TVS,,Scooty Pep,2006,"37,000 km",madushan,100 cc,"115,000"
"TVS Scooty Pep 200650,000 kmMatara, MotorbikesRs 123,00024 days",https://ikman.lk/en/ad/tvs-scooty-pep-2006-for-sale-matara-19,TVS Scooty Pep 2006,"Posted on 18 Feb 6:50 pm, Akuressa, Matara",Scooters,TVS,TVS,Scooty Pep,2006,"50,000 km",Pubudu Chatumal,100 cc,"123,000"
"TVS Scooty Pep 200770,000 kmGampaha, MotorbikesRs 135,00023 days",https://ikman.lk/en/ad/tvs-scooty-pep-2007-for-sale-gampaha-589,TVS Scooty Pep 2007,"Posted on 19 Feb 10:46 am, Kelaniya, Gampaha",Scooters,TVS,pep,Scooty Pep,2007,"70,000 km",Gihan Jayasekara,90 cc,"135,000"
"TVS Scooty Pep 200856,000 kmJaffna, MotorbikesRs 125,00032 days",https://ikman.lk/en/ad/tvs-scooty-pep-gray-2008-for-sale-jaffna,TVS Scooty Pep 2008,"Posted on 10 Feb 9:03 am, Chavakachcheri, Jaffna",Scooters,TVS,Pep,Scooty Pep,2008,"56,000 km",Raja,125 cc,"125,000"
"TVS Scooty Pep 200852,200 kmMonaragala, MotorbikesRs 140,00051 days",https://ikman.lk/en/ad/scooty-pep-2008-for-sale-monaragala,TVS Scooty Pep 2008,"Posted on 20 Feb 5:46 pm, Monaragala City, Monaragala",Scooters,TVS,Pep,Scooty Pep,2008,"52,200 km",Bishan Sanjaya,90 cc,"140,000"
"TVS Scooty Pep 201043,000 kmMEMBERKalutara, MotorbikesRs 92,00046 days",https://ikman.lk/en/ad/tvs-scooty-pep-2010-for-sale-kalutara-11,TVS Scooty Pep 2010,"Posted on 09 Feb 8:02 pm, Bandaragama, Kalutara",Scooters,TVS,TVS,Scooty Pep,2010,"43,000 km",Welegedara Motors,90 cc,"92,000"
"TVS Scooty Pep 201141,000 kmColombo, MotorbikesRs 170,00030 days",https://ikman.lk/en/ad/tvs-scooty-pep-2011-for-sale-colombo-309,TVS Scooty Pep 2011,"Posted on 16 Feb 1:32 pm, Kottawa, Colombo",Scooters,TVS,,Scooty Pep,2011,"41,000 km",Sellfast | Boralesgamuwa | Anudi-BR,98 cc,"170,000"
"TVS Scooty Pep 201242,489 kmMatara, MotorbikesRs 185,00025 days",https://ikman.lk/en/ad/tvs-scooty-pep-2012-for-sale-matara-86,TVS Scooty Pep 2012,"Posted on 17 Feb 12:28 pm, Matara City, Matara",Scooters,TVS,2012,Scooty Pep,2012,"42,489 km",D.LR LASHANTHA,90 cc,"185,000"
"TVS Scooty Pep 201822,000 kmMatale, MotorbikesRs 315,00029 days",https://ikman.lk/en/ad/tvs-scooty-pep-2018-for-sale-matale,TVS Scooty Pep 2018,"Posted on 14 Feb 12:47 pm, Matale City, Matale",Scooters,TVS,2018,Scooty Pep,2018,"22,000 km",Sameera prasad,100 cc,"315,000"
"TVS Scooty Pep 201911,000 kmRatnapura, MotorbikesRs 485,00051 days",https://ikman.lk/en/ad/tvs-scooty-pep-2019-for-sale-ratnapura-1,TVS Scooty Pep 2019,"Posted on 21 Jan 11:20 pm, Embilipitiya, Ratnapura",Scooters,TVS,,Scooty Pep,2019,"11,000 km",sam path,125 cc,"485,000"
"TVS Scooty Pep 20199,700 kmMEMBERGampaha, MotorbikesRs 310,00036 days",https://ikman.lk/en/ad/tvs-scooty-pep-2019-for-sale-gampaha-33,TVS Scooty Pep 2019,"Posted on 07 Feb 4:33 pm, Katunayake, Gampaha",Scooters,TVS,,Scooty Pep,2019,"9,700 km",Amila Motors,99 cc,"310,000"
"TVS Scooty Pep GRAY 201723,000 kmMEMBERColombo, MotorbikesRs 100,00024 days",https://ikman.lk/en/ad/tvs-scooty-pep-gray-2017-for-sale-colombo,TVS Scooty Pep GRAY 2017,"Posted on 18 Feb 2:33 pm, Piliyandala, Colombo",Scooters,TVS,GRAY,Scooty Pep,2017,"23,000 km",Piliyandala Scooty Mart,90 cc,"100,000"
"TVS Scooty Pep+ (Used) 201524,000 kmMEMBERColombo, MotorbikesRs 125,00056 days",https://ikman.lk/en/ad/tvs-scooty-pep-used-2015-for-sale-colombo,TVS Scooty Pep+ (Used) 2015,"Posted on 25 Feb 10:11 am, Piliyandala, Colombo",Scooters,TVS,(Used),Scooty Pep+,2015,"24,000 km",Piliyandala Bike Centre,100 cc,"125,000"
"TVS Scooty Pep+ . 201726,000 kmMEMBERKalutara, MotorbikesRs 280,00041 days",https://ikman.lk/en/ad/tvs-scooty-pep-2017-for-sale-kalutara-13,TVS Scooty Pep+ . 2017,"Posted on 07 Mar 2:08 pm, Bandaragama, Kalutara",Scooters,TVS,.,Scooty Pep+,2017,"26,000 km",Anjalee Motors,90 cc,"280,000"
